Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
fintonic,Fintonic is a free application that enables anyone to organize accounts and saving money.,https://www.crunchbase.com/organization/fintonic,#REF!,,"Madrid, Madrid, Spain",$1M to $10M,2012,"Banking, Big Data, Consumer Lending, Finance, Financial Services, FinTech, Insurance, Mobile, Personal Finance",51-100,Late Stage Venture,20/10/2020,,Convertible Note,50934537,"All Iron Ventures, ING Ventures, ING Group, Onza Capital, Inception Capital",0,0.5,0.66,1,0.68,Mature
Yodlee,"Yodlee is a provider of financial applications that offers solutions for banks, entrepreneurs and individuals.",https://www.crunchbase.com/organization/yodlee,#REF!,,"Redwood City, California, United States",$100M to $500M,1999,"Banking, Financial Services, FinTech, Mobile, Software",1001-5000,M&A,09/05/2012,8309780,Venture - Series Unknown,141309780,"Sequoia Capital, IVP (Institutional Venture Partners), Bank of America, Accel, Warburg Pincus",62,1,0.66,1,0.83,Mature
Fast,Fast provides an online login and checkout solutions designed to provide users with a secure shopping experience.,https://www.crunchbase.com/organization/byepass,#REF!,,"San Francisco, California, United States",,2019,"E-Commerce, Shopping, Software",101-250,Early Stage Venture,26/01/2021,102000000,Series B,124500000,"Index Ventures, Stripe, Kleiner Perkins, Addition, Global Founders Capital",0,0.5,1,1,0.85,Mature
Templum,Templum is a blockchain powered fintech company that offers a regulatory compliant platform as securities and secondary trading.,https://www.crunchbase.com/organization/templum,#REF!,,"New York, New York, United States",Less than $1M,2017,"Asset Management, Blockchain, Consulting, Financial Exchanges, Financial Services, FinTech, Information Technology",,,16/06/2021,,Venture - Series Unknown,27439142,"Blockchain Capital, Firstminute Capital, Raptor Group, WestCap, CMT Digital Ventures",3,0.5,0.66,0,0.48,Emerging
Onward,Onward develops an Implantable Neuro-stimulation System (INS) with real-time motion feedback and uses training tools.,https://www.crunchbase.com/organization/gtx-medical,#REF!,,"Eindhoven, Noord-Brabant, The Netherlands",$10M to $50M,2013,"Biotechnology, Health Care, Medical Device, Therapeutics",,,22/04/2021,31886352,Venture - Series Unknown,73052545,"MassChallenge, Venture Kick, INKEF Capital, Wellington Partners, Foundation for Technological Innovation (FIT)",5,0.5,0.66,0,0.48,Emerging
AcadiaSoft,AcadiaSoft develops and markets derivatives and collateral management solutions for institutional investors.,https://www.crunchbase.com/organization/acadiasoft,#REF!,,"Pembroke, Massachusetts, United States",$10M to $50M,2009,"Finance, Financial Services, Information Technology, Software, Trading Platform",,,09/07/2018,23709211,Venture - Series Unknown,57709211,"Citi, HSBC, Credit Suisse, JP Morgan, Euroclear",5,1,0.66,0,0.63,Mature
Moven,"Moven focuses on enabling banks and non-bank partners to leverage the acquire, engage, retain, and grow their customer base.",https://www.crunchbase.com/organization/moven,#REF!,,"New York, New York, United States",$1M to $10M,2011,"Apps, Banking, FinTech, Mobile, Real Time",,Late Stage Venture,31/01/2018,23000000,Series C,47410000,"Anthemis Group, Fort Ross Ventures, Westpac, SBI Group, New York Angels",3,1,1,0,0.8,Mature
Oval Money,Oval offers an app for financial coaching and planning that helps people save according to their rules.,https://www.crunchbase.com/organization/oval-money,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Apps, Finance, Financial Services, FinTech, Mobile",51-100,M&A,05/12/2019,1734668,Equity Crowdfunding,11167998,"Intesa Sanpaolo, Neva Finventures, Gruppo Bertoldi, b-ventures, Eurizon Capital",0,0.5,0.66,1,0.68,Mature
Bumped,Bumped allows users to receive shares of stock and securities from their favorite brands while they shop.,https://www.crunchbase.com/organization/bumped,#REF!,,"Portland, Oregon, United States",Less than $1M,2017,"Finance, Financial Services, FinTech, Loyalty Programs, Marketing, Mobile",,Early Stage Venture,11/11/2020,10400000,Series A,35000000,"Canaan Partners, Commerce Ventures, Oregon Venture Fund, Valor Siren Ventures, Jonathan Weiner",6,0.5,0.33,0,0.315,Nascent
Lemon Way,"Lemon Way is a payment institution dedicated to e-commerce websites, crowdfunding platforms, and marketplaces.",https://www.crunchbase.com/organization/lemon-way,#REF!,,"Paris, Ile-de-France, France",$1M to $10M,2007,"E-Commerce, Financial Services, FinTech, Marketplace, Mobile Payments, Payments",51-100,Private Equity,17/10/2019,27811986,Private Equity,40005334,"Speedinvest, Breega, Toscafund Asset Management, Damien Guermonprez, Antoine Orsini",0,1,0.66,1,0.83,Mature
Jaja,Jaja is a fintech company that provides digital and physical credit cards and other financing services.,https://www.crunchbase.com/organization/jaja-finance,#REF!,,"London, England, United Kingdom",Less than $1M,2015,"Credit Cards, Finance, Financial Services, FinTech",51-100,Early Stage Venture,30/11/2020,13335004,Convertible Note,59275514,"Kohlberg Kravis Roberts, Centerbridge Partners LP, Pollen Street Capital, Celeres Investments, Silverstripe International Holdings",0,0.5,0.66,1,0.68,Mature
Mozido,"Mozido designs, develops, and provides mobile commerce and payment solutions globally.",https://www.crunchbase.com/organization/mozido,#REF!,,"Austin, Texas, United States",$10M to $50M,2008,"E-Commerce, Finance, Financial Services, FinTech, Mobile, Mobile Payments",,Early Stage Venture,22/10/2014,185000000,Series B,337161792,"Mastercard, Wellington Management, TomorrowVentures, Tiger Management Corporation, H.R.H. Sheikh Nahyan",44,1,1,0,0.8,Mature
Sarwa.co,Sarwa is an online platform that makes investing in global markets simple and affordable for investors in the Middle East.,https://www.crunchbase.com/organization/sarwa-co,#REF!,,"Dubai, Dubai, United Arab Emirates",$1M to $10M,2017,"FinTech, Wealth Management",,Early Stage Venture,22/01/2020,8400000,Series A,9900000,"500 Startups, Hambro Perks Ltd., Shorooq Partners, Middle East Venture Partners (MEVP), Musaab Hakami",,0.5,0.33,0,0.315,Nascent
Bluefin,"Bluefin specializes in encryption and tokenization technologies to secure PII, PHI and payment data upon entry, in transit and in storage.",https://www.crunchbase.com/organization/bluefin-payment-systems,#REF!,,"Atlanta, Georgia, United States",$1M to $10M,2007,"Cyber Security, Finance, FinTech, Higher Education, Software, Telecommunications",101-250,,27/10/2020,25000000,Venture - Series Unknown,31000000,"Goldman Sachs, Macquarie Capital, Camden Partners, Napier Park Global Capital",23,1,0.66,1,0.83,Mature
Kuvera.in,An online platform for mutual fund investments.,https://www.crunchbase.com/organization/kuvera-in,#REF!,,"Bangalore, Karnataka, India",$1M to $10M,2016,"Commercial, Financial Services, FinTech, Wealth Management",,Early Stage Venture,16/04/2019,4500000,Series A,4750000,"Eight Roads Ventures, Fidelity International Strategic Ventures, Baskar Subramanian, Ankit Kesarwani, Gaurav Suri",,0.5,0.33,0,0.315,Nascent
Tyro Payments,"Tyro Payments is an Australian financial institution specializing in merchant credit, debit and EFTPOS acquisition.",https://www.crunchbase.com/organization/tyro-payments,#REF!,,"Sydney, New South Wales, Australia",$100M to $500M,2003,"Banking, Finance, Financial Services, FinTech, Payments",251-500,IPO,28/06/2019,,Secondary Market,103880115,"Tiger Global Management, Ellerston Capital, Mike Cannon-Brookes, TDM Asset Management",0,1,0.66,1,0.83,Mature
Hero FinCorp,"Hero FinCorp is a financial company present across categories like two-wheeler financing, supply chain finance and business loans.",https://www.crunchbase.com/organization/hero-fincorp,#REF!,,"New Delhi, Delhi, India",$100M to $500M,1991,"Finance, Financial Services, FinTech",1001-5000,Private Equity,15/09/2016,104888414,Private Equity,104888414,"Credit Suisse, Chrys Capital",,1,0.66,1,0.83,Mature
BrightPlan,BrightPlan provides Total Financial Wellness for all employees by creating a plan to achieve their financial goals.,https://www.crunchbase.com/organization/brightplan,#REF!,,"San Jose, California, United States",Less than $1M,2016,"FinTech, Wealth Management, Wellness",,Early Stage Venture,01/04/2021,9500000,Series A,11200000,"Fremont Group, The Cynosure Group, Still Capital Partners, Hawk Partners",5,0.5,0.33,0,0.315,Nascent
Softomotive,Softomotive is a software company that provides Robotic Process Automation technology for organizations's digital workforce development.,https://www.crunchbase.com/organization/softomotive,#REF!,,"London, England, United Kingdom",Less than $1M,2005,"Business Information Systems, Industrial Automation, Office Administration, Robotics, Software",101-250,M&A,28/09/2018,25000000,Series A,25000000,Grafton Capital,,1,0.33,1,0.665,Mature
RavenPack,RavenPack designs big data analytics services that conducts financial analysis.,https://www.crunchbase.com/organization/ravenpack,#REF!,,"Cadiz, Andalucia, Spain",$1M to $10M,2003,"Analytics, Banking, Finance, Financial Services, Natural Language Processing, News, Social Media, Software, Text Analytics, Venture Capital",101-250,Seed,19/04/2021,,Seed,15000000,"Draper Esprit, Plug and Play Insurtech, GP Bullhound",0,1,0,1,0.5,Emerging
T-REX,"T-REX's fintech platform, structuring and valuation tools make complex capital markets more liquid via enhanced transparency and efficiency.",https://www.crunchbase.com/organization/t-rex-2,#REF!,,"New York, New York, United States",$1M to $10M,2012,"Financial Exchanges, Financial Services, FinTech, Renewable Energy, SaaS",,,04/09/2019,15000000,Corporate Round,31600000,"Citi, Elemental Excelerator, Safeguard Scientifics, Macquarie Capital, The Westly Group",,0.5,0.66,0,0.48,Emerging
Zeitgold,Zeitgold is a Berlin-based AI company providing a complete solution for financial administration of small businesses.,https://www.crunchbase.com/organization/zeitgold,#REF!,,"Berlin, Berlin, Germany",$1M to $10M,2015,"Artificial Intelligence, Financial Services, FinTech, Small and Medium Businesses",101-250,Early Stage Venture,05/05/2020,29264961,Series B,57011648,"Battery Ventures, HV Capital, Deutsche Bank, btov Partners, Vintage Investment Partners",0,0.5,1,1,0.85,Mature
Xignite,Xignite provides cloud-based financial market data distribution solutions to fintech companies and financial services providers.,https://www.crunchbase.com/organization/xignite,#REF!,,"San Mateo, California, United States",$1M to $10M,2000,"Cloud Data Services, Cloud Infrastructure, Financial Services, FinTech, Information Services, Real Time, SaaS",51-100,Late Stage Venture,08/02/2016,20500000,Series C,37594816,"Altos Ventures, Startup Capital Ventures, StarVest Partners, QUICK, Launny Steffens",1,1,1,1,1,Mature
BondLink,BondLink builds technology products and tools to help modernize the municipal bond market.,https://www.crunchbase.com/organization/bondlink,#REF!,,"Boston, Massachusetts, United States",$1M to $10M,2016,"Big Data, Financial Services, FinTech, Government, GovTech, SaaS, Software",,Early Stage Venture,26/05/2021,18000000,Series B,30000000,"Franklin Templeton Investments, Coatue, Accomplice",,0.5,1,0,0.65,Mature
Dave,"Dave is a challenger bank on a mission to put everyone’s financial mind at ease with free overdraft cash, budgeting, and side gigs.",https://www.crunchbase.com/organization/dave-com,#REF!,,"Los Angeles, California, United States",$100M to $500M,2016,"Banking, Financial Services, FinTech, Internet",101-250,Early Stage Venture,28/01/2021,100000000,Debt Financing,176301000,"Norwest Venture Partners, SV Angel, Mark Cuban, Victory Park Capital, Section 32",0,0.5,0.66,1,0.68,Mature
Wealthify,"Wealthify offers effortless, transparent, and affordable investing for everyone.",https://www.crunchbase.com/organization/wealthify-com,#REF!,,"Penarth, Vale of Glamorgan, The, United Kingdom",$1M to $10M,2014,"Asset Management, Finance, Financial Services, FinTech, Wealth Management",,M&A,19/10/2017,19726459,Corporate Round,23130090,"Seedrs, Aviva Group, 1818 Venture Capital, Richard Theo",0,0.5,0.66,0,0.48,Emerging
Treasury Intelligence Solutions,TIS is reimagining the world of enterprise payments through a cloud-based platform,https://www.crunchbase.com/organization/treasury-intelligence-solutions,#REF!,,"Walldorf, Baden-Wurttemberg, Germany",$1M to $10M,2010,"Big Data, Business Intelligence, Cloud Computing, Cloud Security, Enterprise Software, Payments, SaaS, Software",101-250,Late Stage Venture,26/05/2020,20000000,Series D,41109370,"83North, Vintage Investment Partners, Claret Capital Partners, Aquiline Technology Growth, Target Partners",0,1,1,1,1,Mature
Oodle Car Finance,Oodle Car Finance is a car finance company that match-makes customers with UK's best car dealers.,https://www.crunchbase.com/organization/oodle-car-finance,#REF!,,"Oxford, Oxfordshire, United Kingdom",$10M to $50M,2016,"Finance, Financial Services",101-250,Private Equity,27/03/2018,141766954,Debt Financing,215453221,"Citi, Kohlberg Kravis Roberts",0,0.5,0.66,1,0.68,Mature
Float,Float is a mobile-first credit experience that offers small dollar credit lines built on bank and alternative data.,https://www.crunchbase.com/organization/float-4,#REF!,,"Los Angeles, California, United States",,2015,"Credit, Financial Services, Machine Learning",,Seed,01/01/2019,,Seed,2500000,"FundersClub, Backstage Capital, 500 Startups, Plug and Play Tech Center, Camp One Ventures",0,0.5,0,0,0.15,Nascent
Artivest,Artivest provides access at lower investment minimums to a select assortment of privately offered alternative investment funds.,https://www.crunchbase.com/organization/artivest,#REF!,,"New York, New York, United States",$1M to $10M,2011,"Financial Services, FinTech, Impact Investing, Wealth Management",101-250,M&A,04/05/2015,15000000,Series A,17000000,"500 Startups, Anthemis Group, 8VC, Peter Thiel, Nyca Partners",0,1,0.33,1,0.665,Mature
Ohpen,Ohpen is a cloud-based core-banking engine,https://www.crunchbase.com/organization/ohpen,#REF!,,"Amsterdam, Noord-Holland, The Netherlands",$10M to $50M,2009,"Banking, Finance, Financial Services, FinTech, Information Technology, Lending",251-500,Private Equity,18/04/2019,,Private Equity,47935669,"NPM Capital, Amerborgh",0,1,0.66,1,0.83,Mature
